,,,,,,,,,,,,,,,,,,,,
Clave,Nombre,Alcaldía o municipio,Entidad,id,Estatus,Latitud,Longitud,Altitud,Subred.1,RAMA.Operación,RAMA.Parámetros,Subred.2,REDMET.Operación,REDMET.Parámetros,Subred.3,REDDA.Operación,REDDA.Parámetros,Subred.4,REDMA.Operación,REDMA.Parámetros
MGH,Miguel Hidalgo,Miguel Hidalgo,CDMX,484090160609,Activa,19.404.050,-99.202.603,2366,RAMA,2015-actual,"O3, NOX, NO2, NO, CO, SO2, PM10, PM2.5, PM10-2.5",REDMET,2015-actual,"VV, DV, TMP, HR,RADG",,,,,,
MPA,Milpa Alta,Milpa Alta,CDMX,484090090104,Activa,19.176.900,-98.990.189,2594,RAMA,2016-actual,"O3, NOX, NO2, NO, CO, SO2, PM10, PM2.5, PM10-2.5",REDMET,2016-actual,"VV, DV, TMP, HR, UVA, UVB",REDDA,1998-actual,"Depósito atmosférico, pH",,,
MON,Montecillo,Texcoco,Estado de México,484150990113,Activa,19.460.415,-98.902.853,2252,RAMA,1994-actual,"O3, NOX, NO2, NO, CO, SO2",REDMET,2000-actual,"VV, DV, TMP, HR, RADG, UVA, UVB",REDDA,1994-actual,"Depósito atmosférico, pH",,,
MCM,Museo de la Ciudad de México,Cuauhtémoc,CDMX,484090150304,Activa,19.429.071,-99.131.924,2237,,,,,,,REDDA,1988-actual,"Depósito atmosférico, pH",REDMA,1989-2002,PM10
NEZ,Nezahualcóyotl,Nezahualcóyotl,Estado de México,484150580115,Activa,19.393.734,-99.028.212,2235,RAMA,2011-actual,"O3, NOX, NO2, NO, CO, SO2, PM2.5",REDMET,2011-actual,"VV, DV, TMP, HR",REDMA,1989-actual,"PM10, Pb",REDDA,1990-actual,"Depósito atmosférico, pH"
PED,Pedregal,Álvaro Obregón,CDMX,484090100127,Activa,19.325.146,-99.204.136,2326,RAMA,1986-actual,"O3, NOX, NO2, NO, CO, SO2, PM10, PM2.5, PM10-2.5",REDMET,1986-actual,"VV, DV, TMP, HR, UVA, UVB",REDMA,1989-actual,"PST, PM10, PM2.5, Pb",,,
SAG,San Agustín,Ecatepec de Morelos,Estado de México,484150330327,Activa,19.532.968,-99.030.324,2241,RAMA,1986-actual,"O3, NOX, NO2, NO, CO, SO2, PM10, PM2.5, PM10-2.5",REDMET,1986-actual,"VV, DV, TMP, HR, UVA, UVB",REDMA,2003-actual,PM2.5,,,
SNT,San Nicolás Totolapan,La Magdalena Contreras,CDMX,484090080104,Activa,19.250.385,-99.256.462,2946,,,,,,,,,,REDDA,1998-actual,"Depósito atmosférico, pH"
SFE,Santa Fe,Cuajimalpa de Morelos,CDMX,484090040309,Activa,19.357.357,-99.262.865,2599,RAMA,2012-actual,"O3, NOX, NO2, NO, CO, SO2, PM10, PM2.5, PM10-2.5",REDMET,2012-actual,"VV, DV, TMP, HR, RADG, UVA, UVB",,,,,,
SAC,Santiago Acahualtepec,Iztapalapa,CDMX,484800090073,Activa,1.934.561,-99.009.381,2293,RAMA,2019-actual,"O3, CO, SO2, PM10, PM2.5, PM10-2.5",REDMET,2019-actual,"VV, DV, TMP, HR",,,,,,
SHA,Secretaría de Hacienda,Miguel Hidalgo,CDMX,484090160202,Activa,19.446.203,-99.207.868,2272,,,,,,,REDMA,1989-actual,PM10,,,
TAH,Tláhuac,Xochimilco,CDMX,484090130309,Activa,19.246.459,-99.010.564,2297,RAMA,1994-actual,"O3, NOX, NO2, NO, CO, SO2, PM10",REDMET,2000-actual,"VV, DV, TMP, HR",,,,,,
TLA,Tlalnepantla,Tlalnepantla de Baz,Estado de México,484151040115,Activa,19.529.077,-99.204.597,2311,RAMA,1986-actual,"O3, NOX, NO2, NO, CO, SO2, PM10, PM2.5, PM10-2.5",REDMET,1986-actual,"VV, DV, TMP, HR, RADG, UVA, UVB",REDMA,1989-actual,"PST, PM10, PM2.5, Pb",REDDA,1989-actual,"Depósito atmosférico, pH"
TLI,Tultitlán,Tultitlán,Estado de México,484151090101,Activa,19.602.542,-99.177.173,2313,RAMA,1994-actual,"O3, NOX, NO2, NO, CO, SO2, PM10",,,,,,,,,
UIZ,UAM Iztapalapa,Iztapalapa,CDMX,484090070219,Activa,19.360.794,-9.907.388,2221,RAMA,1987-actual,"O3, NOX, NO2, NO, CO, SO2, PM10, PM2.5, PM10-2.5",,,,REDMA,1989-actual,"PST, PM10, PM2.5, Pb",,,
UAX,UAM Xochimilco,Coyoacán,CDMX,484090030401,Activa,19.304.441,-99.103.629,2246,RAMA,2012-actual,"O3, NOX, NO2, NO, CO, SO2, PM2.5",,,,,,,,,
VIF,Villa de las Flores,Coacalco de Berriozábal,Estado de México,484150200109,Activa,19.658.223,-9.909.659,2242,RAMA,1994-actual,"O3, NOX, NO2, NO, CO, SO2, PM10",REDMET,2000-actual,"VV, DV, TMP, HR",,,,,,
XAL,Xalostoc,Ecatepec de Morelos,Estado de México,484150330415,Activa,19.525.995,-990.824,2160,RAMA,1986-actual,"O3, NOX, NO2, NO, CO, SO2, PM10, PM2.5, PM10-2.5",REDMET,1986-actual,"VV, DV, TMP, HR, RADG",REDMA,1989-actual,"PST, PM10, PM2.5, Pb",REDDA,1989-actual,"Depósito atmosférico, pH"
